"DMS_Project"

"Time      "	".A1.Translational_Acceleration.X"	".D1.Translational_Acceleration.X"	".M1.Translational_Acceleration.X"	".O1.Translational_Acceleration.X"	".H7.Translational_Acceleration.X"	".N5.Translational_Acceleration.X"	".C2.Translational_Acceleration.X"	".G2.Translational_Acceleration.X"	".K3.Translational_Acceleration.X"
0.000000e+00	-1.878681e+00	-1.146681e+00	-1.272362e+00	0.000000e+00	0.000000e+00	2.220446e-16	-2.615017e+00	2.210154e+00	-3.938858e+00
1.000000e-02	-1.851419e+00	-1.149290e+00	-1.251030e+00	-2.220446e-16	1.110223e-16	-5.551115e-17	-2.119047e+00	1.792756e+00	-3.687215e+00
2.000000e-02	-1.822215e+00	-1.150641e+00	-1.228394e+00	1.110223e-16	2.220446e-16	1.665335e-16	-1.614131e+00	1.357308e+00	-3.425558e+00
3.000000e-02	-1.791042e+00	-1.150713e+00	-1.204436e+00	-1.110223e-16	1.110223e-16	1.110223e-16	-1.102474e+00	9.057890e-01	-3.161580e+00
4.000000e-02	-1.757868e+00	-1.149481e+00	-1.179135e+00	0.000000e+00	0.000000e+00	1.110223e-16	-5.863813e-01	4.403344e-01	-2.901257e+00
5.000000e-02	-1.722665e+00	-1.146925e+00	-1.152472e+00	0.000000e+00	1.110223e-16	3.330669e-16	-6.823046e-02	-3.677617e-02	-2.648913e+00
6.000000e-02	-1.685401e+00	-1.143020e+00	-1.124427e+00	0.000000e+00	0.000000e+00	2.775558e-16	4.495504e-01	-5.231377e-01	-2.407385e+00
7.000000e-02	-1.646044e+00	-1.137745e+00	-1.094979e+00	0.000000e+00	1.110223e-16	2.775558e-16	9.645113e-01	-1.016240e+00	-2.178264e+00
8.000000e-02	-1.604561e+00	-1.131076e+00	-1.064105e+00	1.110223e-16	0.000000e+00	1.665335e-16	1.474208e+00	-1.513490e+00	-1.962150e+00
9.000000e-02	-1.560919e+00	-1.122989e+00	-1.031784e+00	0.000000e+00	0.000000e+00	1.110223e-16	1.976228e+00	-2.012236e+00	-1.758900e+00
1.000000e-01	-1.515081e+00	-1.113461e+00	-9.979905e-01	0.000000e+00	0.000000e+00	5.551115e-17	2.468223e+00	-2.509791e+00	-1.567850e+00
1.100000e-01	-1.467013e+00	-1.102468e+00	-9.627016e-01	0.000000e+00	0.000000e+00	1.665335e-16	2.947931e+00	-3.003461e+00	-1.388015e+00
1.200000e-01	-1.416674e+00	-1.089984e+00	-9.258913e-01	0.000000e+00	0.000000e+00	5.551115e-17	3.413208e+00	-3.490570e+00	-1.218236e+00
1.300000e-01	-1.364027e+00	-1.075986e+00	-8.875330e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.862048e+00	-3.968489e+00	-1.057306e+00
1.400000e-01	-1.309030e+00	-1.060446e+00	-8.475990e-01	-2.220446e-16	-1.110223e-16	8.326673e-17	4.292609e+00	-4.434659e+00	-9.040578e-01
1.500000e-01	-1.251640e+00	-1.043339e+00	-8.060604e-01	0.000000e+00	0.000000e+00	2.498002e-16	4.703233e+00	-4.886617e+00	-7.574339e-01
1.600000e-01	-1.191813e+00	-1.024637e+00	-7.628870e-01	0.000000e+00	0.000000e+00	-2.775558e-17	5.092462e+00	-5.322023e+00	-6.165273e-01
1.700000e-01	-1.129501e+00	-1.004312e+00	-7.180473e-01	-1.110223e-16	5.551115e-17	2.498002e-16	5.459057e+00	-5.738678e+00	-4.806112e-01
1.800000e-01	-1.064658e+00	-9.823361e-01	-6.715084e-01	-1.110223e-16	1.665335e-16	5.551115e-17	5.801999e+00	-6.134547e+00	-3.491535e-01
1.900000e-01	-9.972325e-01	-9.586798e-01	-6.232363e-01	-1.110223e-16	-1.110223e-16	1.249001e-16	6.120509e+00	-6.507774e+00	-2.218213e-01
2.000000e-01	-9.271728e-01	-9.333129e-01	-5.731954e-01	-1.110223e-16	-5.551115e-17	6.938894e-17	6.414038e+00	-6.856700e+00	-9.847658e-02
2.100000e-01	-8.544248e-01	-9.062045e-01	-5.213488e-01	0.000000e+00	-5.551115e-17	-9.714451e-17	6.682276e+00	-7.179871e+00	2.083556e-02
2.200000e-01	-7.789328e-01	-8.773229e-01	-4.676586e-01	0.000000e+00	8.326673e-17	1.734723e-16	6.925141e+00	-7.476049e+00	1.359049e-01
2.300000e-01	-7.006393e-01	-8.466359e-01	-4.120851e-01	0.000000e+00	2.775558e-17	3.330669e-16	7.142772e+00	-7.744213e+00	2.463805e-01
2.400000e-01	-6.194850e-01	-8.141104e-01	-3.545879e-01	0.000000e+00	0.000000e+00	2.775558e-17	7.335517e+00	-7.983566e+00	3.518001e-01
2.500000e-01	-5.354092e-01	-7.797128e-01	-2.951253e-01	0.000000e+00	-5.551115e-17	-1.110223e-16	7.503918e+00	-8.193529e+00	4.516246e-01
2.600000e-01	-4.483497e-01	-7.434090e-01	-2.336547e-01	0.000000e+00	-2.775558e-17	-1.110223e-16	7.648688e+00	-8.373734e+00	5.452765e-01
2.700000e-01	-3.582435e-01	-7.051646e-01	-1.701327e-01	1.110223e-16	-1.665335e-16	1.942890e-16	7.770696e+00	-8.524023e+00	6.321811e-01
2.800000e-01	-2.650266e-01	-6.649448e-01	-1.045154e-01	0.000000e+00	-1.110223e-16	-1.110223e-16	7.870941e+00	-8.644429e+00	7.118086e-01
2.900000e-01	-1.686346e-01	-6.227151e-01	-3.675846e-02	0.000000e+00	-1.665335e-16	1.110223e-16	7.950528e+00	-8.735169e+00	7.837156e-01
3.000000e-01	-6.900322e-02	-5.784408e-01	3.318242e-02	0.000000e+00	-5.551115e-17	-3.885781e-16	8.010644e+00	-8.796625e+00	8.475833e-01
3.100000e-01	3.393142e-02	-5.320882e-01	1.053512e-01	0.000000e+00	-2.775558e-17	-1.110223e-16	8.052533e+00	-8.829329e+00	9.032506e-01
3.200000e-01	1.402320e-01	-4.836238e-01	1.797910e-01	2.775558e-17	-1.387779e-16	5.551115e-17	8.077473e+00	-8.833945e+00	9.507390e-01
3.300000e-01	2.499594e-01	-4.330158e-01	2.565440e-01	-4.857226e-17	0.000000e+00	-2.775558e-16	8.086753e+00	-8.811253e+00	9.902688e-01
3.400000e-01	3.631717e-01	-3.802338e-01	3.356502e-01	-3.122502e-17	5.551115e-17	-1.665335e-16	8.081651e+00	-8.762129e+00	1.022264e+00
3.500000e-01	4.799239e-01	-3.252494e-01	4.171476e-01	-4.163336e-17	-5.551115e-17	0.000000e+00	8.063415e+00	-8.687524e+00	1.047345e+00
3.600000e-01	6.002658e-01	-2.680371e-01	5.010707e-01	0.000000e+00	-1.110223e-16	0.000000e+00	8.033244e+00	-8.588455e+00	1.066314e+00
3.700000e-01	7.242420e-01	-2.085745e-01	5.874503e-01	-2.775558e-17	-1.110223e-16	-1.110223e-16	7.992280e+00	-8.465980e+00	1.080125e+00
3.800000e-01	8.518897e-01	-1.468433e-01	6.763124e-01	-5.551115e-17	0.000000e+00	-1.110223e-16	7.941589e+00	-8.321191e+00	1.089851e+00
