"DMS_Project"

"Time      "	".A1.Translational_Acceleration.Y"	".D1.Translational_Acceleration.Y"	".M1.Translational_Acceleration.Y"	".O1.Translational_Acceleration.Y"	".H7.Translational_Acceleration.Y"	".N5.Translational_Acceleration.Y"	".C2.Translational_Acceleration.Y"	".G2.Translational_Acceleration.Y"	".K3.Translational_Acceleration.Y"
0.000000e+00	1.222912e-01	-3.993726e-01	1.534547e-01	-2.775558e-17	0.000000e+00	-3.330669e-16	5.767240e+00	-5.458711e+00	-3.446957e+00
1.000000e-02	1.971303e-01	-3.480678e-01	2.033022e-01	3.469447e-18	-2.220446e-16	-2.220446e-16	5.919897e+00	-5.663199e+00	-3.669471e+00
2.000000e-02	2.715533e-01	-2.965225e-01	2.527943e-01	3.469447e-18	-2.220446e-16	-2.775558e-16	6.035269e+00	-5.836247e+00	-3.814782e+00
3.000000e-02	3.455390e-01	-2.447419e-01	3.019154e-01	4.857226e-17	0.000000e+00	-1.110223e-16	6.113203e+00	-5.976991e+00	-3.891544e+00
4.000000e-02	4.190678e-01	-1.927303e-01	3.506510e-01	2.775558e-17	-3.330669e-16	-1.110223e-16	6.153761e+00	-6.084728e+00	-3.909540e+00
5.000000e-02	4.921212e-01	-1.404911e-01	3.989875e-01	0.000000e+00	1.110223e-16	1.110223e-16	6.157237e+00	-6.158935e+00	-3.878924e+00
6.000000e-02	5.646822e-01	-8.802661e-02	4.469121e-01	8.326673e-17	-1.110223e-16	-2.220446e-16	6.124171e+00	-6.199291e+00	-3.809623e+00
7.000000e-02	6.367350e-01	-3.533816e-02	4.944130e-01	-5.551115e-17	4.440892e-16	-1.110223e-16	6.055360e+00	-6.205701e+00	-3.710912e+00
8.000000e-02	7.082653e-01	1.757403e-02	5.414792e-01	-5.551115e-17	1.110223e-16	-2.220446e-16	5.951867e+00	-6.178306e+00	-3.591146e+00
9.000000e-02	7.792604e-01	7.071086e-02	5.881007e-01	0.000000e+00	0.000000e+00	-3.330669e-16	5.815026e+00	-6.117497e+00	-3.457616e+00
1.000000e-01	8.497087e-01	1.240744e-01	6.342684e-01	0.000000e+00	-1.110223e-16	-1.110223e-16	5.646439e+00	-6.023929e+00	-3.316510e+00
1.100000e-01	9.196003e-01	1.776679e-01	6.799742e-01	0.000000e+00	-1.665335e-16	-4.440892e-16	5.447971e+00	-5.898517e+00	-3.172936e+00
1.200000e-01	9.889266e-01	2.314958e-01	7.252108e-01	1.110223e-16	-1.110223e-16	-2.220446e-16	5.221747e+00	-5.742445e+00	-3.030995e+00
1.300000e-01	1.057681e+00	2.855638e-01	7.699719e-01	-1.110223e-16	-8.326673e-17	-3.330669e-16	4.970132e+00	-5.557160e+00	-2.893879e+00
1.400000e-01	1.125857e+00	3.398790e-01	8.142523e-01	-1.110223e-16	-1.110223e-16	-1.110223e-16	4.695717e+00	-5.344361e+00	-2.763967e+00
1.500000e-01	1.193451e+00	3.944498e-01	8.580475e-01	1.110223e-16	-5.551115e-17	-2.220446e-16	4.401300e+00	-5.105990e+00	-2.642938e+00
1.600000e-01	1.260460e+00	4.492856e-01	9.013542e-01	0.000000e+00	1.110223e-16	-3.330669e-16	4.089857e+00	-4.844215e+00	-2.531860e+00
1.700000e-01	1.326884e+00	5.043976e-01	9.441697e-01	0.000000e+00	-5.551115e-17	-3.330669e-16	3.764514e+00	-4.561407e+00	-2.431280e+00
1.800000e-01	1.392723e+00	5.597980e-01	9.864924e-01	1.110223e-16	-8.326673e-17	-2.220446e-16	3.428518e+00	-4.260116e+00	-2.341298e+00
1.900000e-01	1.457977e+00	6.155004e-01	1.028322e+00	0.000000e+00	-1.110223e-16	0.000000e+00	3.085201e+00	-3.943045e+00	-2.261631e+00
2.000000e-01	1.522652e+00	6.715200e-01	1.069658e+00	-1.110223e-16	-5.551115e-17	-3.330669e-16	2.737942e+00	-3.613013e+00	-2.191670e+00
2.100000e-01	1.586750e+00	7.278729e-01	1.110502e+00	1.110223e-16	-5.551115e-17	-2.220446e-16	2.390135e+00	-3.272925e+00	-2.130528e+00
2.200000e-01	1.650279e+00	7.845767e-01	1.150857e+00	0.000000e+00	-5.551115e-17	0.000000e+00	2.045142e+00	-2.925736e+00	-2.077080e+00
2.300000e-01	1.713245e+00	8.416503e-01	1.190724e+00	0.000000e+00	0.000000e+00	-2.220446e-16	1.706263e+00	-2.574412e+00	-2.030011e+00
2.400000e-01	1.775657e+00	8.991137e-01	1.230107e+00	2.220446e-16	-1.110223e-16	-3.330669e-16	1.376692e+00	-2.221889e+00	-1.987846e+00
2.500000e-01	1.837525e+00	9.569879e-01	1.269011e+00	0.000000e+00	-5.551115e-17	-2.220446e-16	1.059484e+00	-1.871043e+00	-1.948998e+00
2.600000e-01	1.898861e+00	1.015295e+00	1.307442e+00	0.000000e+00	0.000000e+00	-1.110223e-16	7.575186e-01	-1.524644e+00	-1.911808e+00
2.700000e-01	1.959675e+00	1.074059e+00	1.345404e+00	-2.220446e-16	0.000000e+00	-4.440892e-16	4.734691e-01	-1.185328e+00	-1.874584e+00
2.800000e-01	2.019982e+00	1.133302e+00	1.382905e+00	0.000000e+00	0.000000e+00	-3.330669e-16	2.097745e-01	-8.555615e-01	-1.835655e+00
2.900000e-01	2.079796e+00	1.193051e+00	1.419952e+00	-2.220446e-16	0.000000e+00	-2.220446e-16	-3.138545e-02	-5.376102e-01	-1.793414e+00
3.000000e-01	2.139131e+00	1.253328e+00	1.456552e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.481101e-01	-2.335164e-01	-1.746363e+00
3.100000e-01	2.198003e+00	1.314161e+00	1.492714e+00	-2.220446e-16	0.000000e+00	0.000000e+00	-4.387935e-01	5.492439e-02	-1.693160e+00
3.200000e-01	2.256429e+00	1.375574e+00	1.528446e+00	2.220446e-16	-1.110223e-16	-6.661338e-16	-6.021347e-01	3.261795e-01	-1.632660e+00
3.300000e-01	2.314424e+00	1.437593e+00	1.563757e+00	2.220446e-16	0.000000e+00	-3.330669e-16	-7.371438e-01	5.789914e-01	-1.563946e+00
3.400000e-01	2.372005e+00	1.500241e+00	1.598657e+00	2.220446e-16	-1.110223e-16	-2.220446e-16	-8.431421e-01	8.123849e-01	-1.486354e+00
3.500000e-01	2.429190e+00	1.563543e+00	1.633155e+00	-2.220446e-16	0.000000e+00	0.000000e+00	-9.197585e-01	1.025668e+00	-1.399487e+00
3.600000e-01	2.485995e+00	1.627521e+00	1.667259e+00	0.000000e+00	1.110223e-16	-5.551115e-16	-9.669211e-01	1.218431e+00	-1.303221e+00
3.700000e-01	2.542435e+00	1.692196e+00	1.700980e+00	4.440892e-16	2.220446e-16	-3.330669e-16	-9.848444e-01	1.390537e+00	-1.197692e+00
3.800000e-01	2.598526e+00	1.757586e+00	1.734327e+00	0.000000e+00	-1.110223e-16	-2.220446e-16	-9.740133e-01	1.542110e+00	-1.083282e+00
3.900000e-01	2.654282e+00	1.823707e+00	1.767307e+00	0.000000e+00	-1.110223e-16	-5.551115e-17	-9.351640e-01	1.673522e+00	-9.605864e-01
4.000000e-01	2.709717e+00	1.890570e+00	1.799929e+00	-2.220446e-16	1.110223e-16	-2.220446e-16	-8.692624e-01	1.785370e+00	-8.303790e-01
4.100000e-01	2.764840e+00	1.958186e+00	1.832201e+00	0.000000e+00	0.000000e+00	-3.330669e-16	-7.774806e-01	1.878459e+00	-6.935703e-01
4.200000e-01	2.819661e+00	2.026556e+00	1.864127e+00	0.000000e+00	-1.110223e-16	1.665335e-16	-6.611720e-01	1.953778e+00	-5.511618e-01
4.300000e-01	2.874187e+00	2.095679e+00	1.895715e+00	-2.220446e-16	-1.665335e-16	-5.551115e-17	-5.218461e-01	2.012470e+00	-4.041991e-01
4.400000e-01	2.928420e+00	2.165546e+00	1.926967e+00	4.440892e-16	5.551115e-17	0.000000e+00	-3.611429e-01	2.055815e+00	-2.537261e-01
4.500000e-01	2.982361e+00	2.236142e+00	1.957885e+00	0.000000e+00	5.551115e-17	-8.326673e-17	-1.808080e-01	2.085199e+00	-1.007410e-01
4.600000e-01	3.036005e+00	2.307443e+00	1.988471e+00	0.000000e+00	-1.110223e-16	-1.110223e-16	1.733187e-02	2.102087e+00	5.384459e-02
4.700000e-01	3.089344e+00	2.379416e+00	2.018722e+00	2.220446e-16	-1.110223e-16	1.665335e-16	2.313916e-01	2.108007e+00	2.092431e-01
4.800000e-01	3.142364e+00	2.452017e+00	2.048634e+00	0.000000e+00	-5.551115e-17	2.220446e-16	4.594491e-01	2.104517e+00	3.648241e-01
4.900000e-01	3.195045e+00	2.525192e+00	2.078201e+00	4.440892e-16	-5.551115e-17	5.551115e-17	6.995644e-01	2.093189e+00	5.201440e-01
5.000000e-01	3.247362e+00	2.598875e+00	2.107413e+00	0.000000e+00	0.000000e+00	-6.661338e-16	9.497977e-01	2.075591e+00	6.749726e-01
