"DMS_Project"

"Time      "	".A1.Translational_Displacement.X"	".D1.Translational_Displacement.X"	".M1.Translational_Displacement.X"	".O1.Translational_Displacement.X"	".H7.Translational_Displacement.X"	".N5.Translational_Displacement.X"	".C2.Translational_Displacement.X"	".G2.Translational_Displacement.X"	".K3.Translational_Displacement.X"
0.000000e+00	2.900000e+00	2.200000e+00	1.900000e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.500000e+00	1.600000e+00	3.400000e+00
1.000000e-02	2.886845e+00	2.197193e+00	1.890312e+00	-2.220446e-16	4.000000e-01	1.000000e-01	2.472507e+00	1.617050e+00	3.386746e+00
2.000000e-02	2.873505e+00	2.194271e+00	1.880500e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.444803e+00	1.634279e+00	3.373123e+00
3.000000e-02	2.859982e+00	2.191234e+00	1.870564e+00	3.067990e-12	4.000000e-01	1.000000e-01	2.416937e+00	1.651644e+00	3.359157e+00
4.000000e-02	2.846281e+00	2.188081e+00	1.860508e+00	3.104184e-12	4.000000e-01	1.000000e-01	2.388961e+00	1.669099e+00	3.344875e+00
5.000000e-02	2.832404e+00	2.184814e+00	1.850334e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.360927e+00	1.686598e+00	3.330303e+00
6.000000e-02	2.818354e+00	2.181432e+00	1.840045e+00	0.000000e+00	4.000000e-01	1.000000e-01	2.332885e+00	1.704094e+00	3.315466e+00
7.000000e-02	2.804136e+00	2.177936e+00	1.829644e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.304889e+00	1.721537e+00	3.300389e+00
8.000000e-02	2.789753e+00	2.174326e+00	1.819133e+00	0.000000e+00	4.000000e-01	1.000000e-01	2.276989e+00	1.738878e+00	3.285093e+00
9.000000e-02	2.775210e+00	2.170603e+00	1.808515e+00	0.000000e+00	4.000000e-01	1.000000e-01	2.249236e+00	1.756068e+00	3.269601e+00
1.000000e-01	2.760511e+00	2.166768e+00	1.797795e+00	0.000000e+00	4.000000e-01	1.000000e-01	2.221681e+00	1.773057e+00	3.253933e+00
1.100000e-01	2.745661e+00	2.162821e+00	1.786975e+00	-2.220446e-16	4.000000e-01	1.000000e-01	2.194372e+00	1.789795e+00	3.238108e+00
1.200000e-01	2.730663e+00	2.158765e+00	1.776058e+00	0.000000e+00	4.000000e-01	1.000000e-01	2.167358e+00	1.806232e+00	3.222144e+00
1.300000e-01	2.715524e+00	2.154599e+00	1.765049e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.140686e+00	1.822321e+00	3.206058e+00
1.400000e-01	2.700249e+00	2.150325e+00	1.753951e+00	6.661338e-16	4.000000e-01	1.000000e-01	2.114399e+00	1.838013e+00	3.189867e+00
1.500000e-01	2.684843e+00	2.145946e+00	1.742768e+00	-4.440892e-16	4.000000e-01	1.000000e-01	2.088542e+00	1.853261e+00	3.173585e+00
1.600000e-01	2.669311e+00	2.141462e+00	1.731505e+00	-2.220446e-16	4.000000e-01	1.000000e-01	2.063154e+00	1.868021e+00	3.157227e+00
1.700000e-01	2.653661e+00	2.136876e+00	1.720165e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.038276e+00	1.882249e+00	3.140808e+00
1.800000e-01	2.637898e+00	2.132189e+00	1.708754e+00	2.220446e-16	4.000000e-01	1.000000e-01	2.013943e+00	1.895903e+00	3.124340e+00
1.900000e-01	2.622028e+00	2.127404e+00	1.697276e+00	-4.440892e-16	4.000000e-01	1.000000e-01	1.990191e+00	1.908944e+00	3.107838e+00
2.000000e-01	2.606058e+00	2.122524e+00	1.685735e+00	4.440892e-16	4.000000e-01	1.000000e-01	1.967050e+00	1.921335e+00	3.091313e+00
2.100000e-01	2.589996e+00	2.117550e+00	1.674137e+00	-4.440892e-16	4.000000e-01	1.000000e-01	1.944551e+00	1.933039e+00	3.074779e+00
2.200000e-01	2.573848e+00	2.112485e+00	1.662486e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.922719e+00	1.944027e+00	3.058246e+00
2.300000e-01	2.557622e+00	2.107333e+00	1.650790e+00	4.688028e-12	4.000000e-01	1.000000e-01	1.901580e+00	1.954266e+00	3.041727e+00
2.400000e-01	2.541327e+00	2.102096e+00	1.639051e+00	4.847678e-12	4.000000e-01	1.000000e-01	1.881155e+00	1.963732e+00	3.025233e+00
2.500000e-01	2.524969e+00	2.096777e+00	1.627278e+00	5.018430e-12	4.000000e-01	1.000000e-01	1.861463e+00	1.972400e+00	3.008774e+00
2.600000e-01	2.508558e+00	2.091381e+00	1.615475e+00	5.201617e-12	4.000000e-01	1.000000e-01	1.842521e+00	1.980248e+00	2.992359e+00
2.700000e-01	2.492102e+00	2.085910e+00	1.603648e+00	5.397460e-12	4.000000e-01	1.000000e-01	1.824344e+00	1.987259e+00	2.976000e+00
2.800000e-01	2.475611e+00	2.080369e+00	1.591805e+00	5.606182e-12	4.000000e-01	1.000000e-01	1.806944e+00	1.993418e+00	2.959703e+00
2.900000e-01	2.459093e+00	2.074761e+00	1.579951e+00	5.829115e-12	4.000000e-01	1.000000e-01	1.790331e+00	1.998713e+00	2.943478e+00
3.000000e-01	2.442558e+00	2.069092e+00	1.568094e+00	6.066703e-12	4.000000e-01	1.000000e-01	1.774513e+00	2.003135e+00	2.927331e+00
3.100000e-01	2.426016e+00	2.063364e+00	1.556239e+00	6.319389e-12	4.000000e-01	1.000000e-01	1.759496e+00	2.006677e+00	2.911268e+00
3.200000e-01	2.409477e+00	2.057583e+00	1.544396e+00	6.587841e-12	4.000000e-01	1.000000e-01	1.745284e+00	2.009337e+00	2.895296e+00
3.300000e-01	2.392953e+00	2.051754e+00	1.532570e+00	6.872725e-12	4.000000e-01	1.000000e-01	1.731879e+00	2.011113e+00	2.879419e+00
3.400000e-01	2.376454e+00	2.045881e+00	1.520770e+00	7.174261e-12	4.000000e-01	1.000000e-01	1.719283e+00	2.012008e+00	2.863641e+00
3.500000e-01	2.359991e+00	2.039971e+00	1.509004e+00	7.493117e-12	4.000000e-01	1.000000e-01	1.707495e+00	2.012028e+00	2.847965e+00
3.600000e-01	2.343576e+00	2.034027e+00	1.497279e+00	7.828405e-12	4.000000e-01	1.000000e-01	1.696513e+00	2.011179e+00	2.832394e+00
3.700000e-01	2.327221e+00	2.028058e+00	1.485605e+00	8.181011e-12	4.000000e-01	1.000000e-01	1.686335e+00	2.009471e+00	2.816929e+00
3.800000e-01	2.310938e+00	2.022067e+00	1.473989e+00	8.550494e-12	4.000000e-01	1.000000e-01	1.676955e+00	2.006917e+00	2.801572e+00
3.900000e-01	2.294741e+00	2.016062e+00	1.462441e+00	8.936851e-12	4.000000e-01	1.000000e-01	1.668370e+00	2.003531e+00	2.786324e+00
4.000000e-01	2.278642e+00	2.010048e+00	1.450970e+00	9.339640e-12	4.000000e-01	1.000000e-01	1.660573e+00	1.999329e+00	2.771186e+00
