"DMS_Project"

"Time      "	".A1.Translational_Displacement.Y"	".D1.Translational_Displacement.Y"	".M1.Translational_Displacement.Y"	".O1.Translational_Displacement.Y"	".H7.Translational_Displacement.Y"	".N5.Translational_Displacement.Y"	".C2.Translational_Displacement.Y"	".G2.Translational_Displacement.Y"	".K3.Translational_Displacement.Y"
0.000000e+00	-1.900000e+00	-4.000000e-01	-1.400000e+00	5.551115e-16	-2.000000e-01	-8.000000e-01	-1.400000e+00	4.000000e-01	-1.900000e+00
1.000000e-02	-1.919929e+00	-4.151431e-01	-1.413053e+00	-2.220446e-16	-2.000000e-01	-8.000000e-01	-1.422219e+00	3.993717e-01	-1.909963e+00
2.000000e-02	-1.939838e+00	-4.303209e-01	-1.426086e+00	1.110223e-16	-2.000000e-01	-8.000000e-01	-1.443846e+00	3.981774e-01	-1.920293e+00
3.000000e-02	-1.959720e+00	-4.455284e-01	-1.439093e+00	-1.557421e-12	-2.000000e-01	-8.000000e-01	-1.464870e+00	3.963998e-01	-1.931003e+00
4.000000e-02	-1.979567e+00	-4.607604e-01	-1.452071e+00	-1.602940e-12	-2.000000e-01	-8.000000e-01	-1.485283e+00	3.940247e-01	-1.942102e+00
5.000000e-02	-1.999372e+00	-4.760116e-01	-1.465013e+00	3.330669e-16	-2.000000e-01	-8.000000e-01	-1.505081e+00	3.910414e-01	-1.953592e+00
6.000000e-02	-2.019129e+00	-4.912769e-01	-1.477915e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-1.524264e+00	3.874425e-01	-1.965469e+00
7.000000e-02	-2.038828e+00	-5.065510e-01	-1.490773e+00	5.551115e-16	-2.000000e-01	-8.000000e-01	-1.542834e+00	3.832240e-01	-1.977727e+00
8.000000e-02	-2.058464e+00	-5.218287e-01	-1.503581e+00	-1.110223e-16	-2.000000e-01	-8.000000e-01	-1.560800e+00	3.783851e-01	-1.990355e+00
9.000000e-02	-2.078030e+00	-5.371045e-01	-1.516335e+00	-3.330669e-16	-2.000000e-01	-8.000000e-01	-1.578170e+00	3.729287e-01	-2.003343e+00
1.000000e-01	-2.097517e+00	-5.523733e-01	-1.529030e+00	-3.330669e-16	-2.000000e-01	-8.000000e-01	-1.594959e+00	3.668609e-01	-2.016677e+00
1.100000e-01	-2.116919e+00	-5.676297e-01	-1.541662e+00	3.330669e-16	-2.000000e-01	-8.000000e-01	-1.611184e+00	3.601909e-01	-2.030342e+00
1.200000e-01	-2.136230e+00	-5.828683e-01	-1.554226e+00	1.110223e-16	-2.000000e-01	-8.000000e-01	-1.626864e+00	3.529313e-01	-2.044324e+00
1.300000e-01	-2.155441e+00	-5.980838e-01	-1.566717e+00	7.771561e-16	-2.000000e-01	-8.000000e-01	-1.642022e+00	3.450977e-01	-2.058610e+00
1.400000e-01	-2.174547e+00	-6.132707e-01	-1.579132e+00	5.551115e-16	-2.000000e-01	-8.000000e-01	-1.656683e+00	3.367087e-01	-2.073185e+00
1.500000e-01	-2.193540e+00	-6.284236e-01	-1.591464e+00	-7.771561e-16	-2.000000e-01	-8.000000e-01	-1.670875e+00	3.277854e-01	-2.088036e+00
1.600000e-01	-2.212414e+00	-6.435371e-01	-1.603712e+00	-4.440892e-16	-2.000000e-01	-8.000000e-01	-1.684627e+00	3.183517e-01	-2.103152e+00
1.700000e-01	-2.231162e+00	-6.586057e-01	-1.615869e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-1.697970e+00	3.084337e-01	-2.118521e+00
1.800000e-01	-2.249777e+00	-6.736237e-01	-1.627931e+00	4.440892e-16	-2.000000e-01	-8.000000e-01	-1.710937e+00	2.980598e-01	-2.134134e+00
1.900000e-01	-2.268253e+00	-6.885859e-01	-1.639895e+00	-8.881784e-16	-2.000000e-01	-8.000000e-01	-1.723560e+00	2.872600e-01	-2.149980e+00
2.000000e-01	-2.286583e+00	-7.034864e-01	-1.651756e+00	6.661338e-16	-2.000000e-01	-8.000000e-01	-1.735876e+00	2.760660e-01	-2.166053e+00
2.100000e-01	-2.304761e+00	-7.183198e-01	-1.663510e+00	-4.440892e-16	-2.000000e-01	-8.000000e-01	-1.747917e+00	2.645108e-01	-2.182345e+00
2.200000e-01	-2.322780e+00	-7.330805e-01	-1.675153e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-1.759720e+00	2.526283e-01	-2.198850e+00
2.300000e-01	-2.340634e+00	-7.477626e-01	-1.686681e+00	-3.277378e-12	-2.000000e-01	-8.000000e-01	-1.771318e+00	2.404533e-01	-2.215563e+00
2.400000e-01	-2.358317e+00	-7.623606e-01	-1.698090e+00	-3.439471e-12	-2.000000e-01	-8.000000e-01	-1.782745e+00	2.280209e-01	-2.232479e+00
2.500000e-01	-2.375822e+00	-7.768687e-01	-1.709376e+00	-3.613110e-12	-2.000000e-01	-8.000000e-01	-1.794035e+00	2.153663e-01	-2.249594e+00
2.600000e-01	-2.393143e+00	-7.912811e-01	-1.720535e+00	-3.799627e-12	-2.000000e-01	-8.000000e-01	-1.805218e+00	2.025245e-01	-2.266904e+00
2.700000e-01	-2.410275e+00	-8.055919e-01	-1.731563e+00	-3.999467e-12	-2.000000e-01	-8.000000e-01	-1.816326e+00	1.895302e-01	-2.284405e+00
2.800000e-01	-2.427211e+00	-8.197953e-01	-1.742457e+00	-4.214185e-12	-2.000000e-01	-8.000000e-01	-1.827386e+00	1.764173e-01	-2.302093e+00
2.900000e-01	-2.443944e+00	-8.338854e-01	-1.753213e+00	-4.443335e-12	-2.000000e-01	-8.000000e-01	-1.838425e+00	1.632187e-01	-2.319965e+00
3.000000e-01	-2.460470e+00	-8.478562e-01	-1.763826e+00	-4.690026e-12	-2.000000e-01	-8.000000e-01	-1.849467e+00	1.499663e-01	-2.338016e+00
3.100000e-01	-2.476782e+00	-8.617017e-01	-1.774294e+00	-4.953371e-12	-2.000000e-01	-8.000000e-01	-1.860533e+00	1.366904e-01	-2.356242e+00
3.200000e-01	-2.492874e+00	-8.754157e-01	-1.784613e+00	-5.235368e-12	-2.000000e-01	-8.000000e-01	-1.871643e+00	1.234198e-01	-2.374637e+00
3.300000e-01	-2.508740e+00	-8.889921e-01	-1.794778e+00	-5.535794e-12	-2.000000e-01	-8.000000e-01	-1.882813e+00	1.101817e-01	-2.393195e+00
3.400000e-01	-2.524375e+00	-9.024248e-01	-1.804788e+00	-5.856426e-12	-2.000000e-01	-8.000000e-01	-1.894057e+00	9.700131e-02	-2.411910e+00
3.500000e-01	-2.539773e+00	-9.157075e-01	-1.814637e+00	-6.197709e-12	-2.000000e-01	-8.000000e-01	-1.905384e+00	8.390201e-02	-2.430773e+00
3.600000e-01	-2.554927e+00	-9.288338e-01	-1.824323e+00	-6.560752e-12	-2.000000e-01	-8.000000e-01	-1.916804e+00	7.090511e-02	-2.449776e+00
3.700000e-01	-2.569833e+00	-9.417974e-01	-1.833843e+00	-6.946221e-12	-2.000000e-01	-8.000000e-01	-1.928319e+00	5.802987e-02	-2.468909e+00
3.800000e-01	-2.584485e+00	-9.545917e-01	-1.843192e+00	-7.353451e-12	-2.000000e-01	-8.000000e-01	-1.939933e+00	4.529352e-02	-2.488162e+00
3.900000e-01	-2.598877e+00	-9.672103e-01	-1.852368e+00	-7.783107e-12	-2.000000e-01	-8.000000e-01	-1.951644e+00	3.271121e-02	-2.507523e+00
4.000000e-01	-2.613004e+00	-9.796465e-01	-1.861367e+00	-8.235634e-12	-2.000000e-01	-8.000000e-01	-1.963449e+00	2.029610e-02	-2.526980e+00
4.100000e-01	-2.626860e+00	-9.918936e-01	-1.870186e+00	-8.710144e-12	-2.000000e-01	-8.000000e-01	-1.975340e+00	8.059358e-03	-2.546520e+00
4.200000e-01	-2.640439e+00	-1.003945e+00	-1.878822e+00	-9.204859e-12	-2.000000e-01	-8.000000e-01	-1.987309e+00	-3.989682e-03	-2.566130e+00
4.300000e-01	-2.653736e+00	-1.015794e+00	-1.887272e+00	-9.720003e-12	-2.000000e-01	-8.000000e-01	-1.999343e+00	-1.584348e-02	-2.585794e+00
4.400000e-01	-2.666746e+00	-1.027433e+00	-1.895532e+00	-1.025313e-11	-2.000000e-01	-8.000000e-01	-2.011430e+00	-2.749616e-02	-2.605499e+00
4.500000e-01	-2.679463e+00	-1.038855e+00	-1.903599e+00	-1.080114e-11	-2.000000e-01	-8.000000e-01	-2.023553e+00	-3.894338e-02	-2.625229e+00
4.600000e-01	-2.691882e+00	-1.050054e+00	-1.911471e+00	-1.136158e-11	-2.000000e-01	-8.000000e-01	-2.035693e+00	-5.018218e-02	-2.644970e+00
4.700000e-01	-2.703997e+00	-1.061022e+00	-1.919143e+00	-1.192912e-11	-2.000000e-01	-8.000000e-01	-2.047832e+00	-6.121087e-02	-2.664705e+00
4.800000e-01	-2.715803e+00	-1.071752e+00	-1.926614e+00	-1.250067e-11	-2.000000e-01	-8.000000e-01	-2.059947e+00	-7.202883e-02	-2.684419e+00
4.900000e-01	-2.727295e+00	-1.082237e+00	-1.933880e+00	-1.306910e-11	-2.000000e-01	-8.000000e-01	-2.072017e+00	-8.263640e-02	-2.704096e+00
5.000000e-01	-2.738468e+00	-1.092470e+00	-1.940938e+00	-1.362821e-11	-2.000000e-01	-8.000000e-01	-2.084016e+00	-9.303471e-02	-2.723722e+00
5.100000e-01	-2.749315e+00	-1.102442e+00	-1.947786e+00	-1.417022e-11	-2.000000e-01	-8.000000e-01	-2.095920e+00	-1.032255e-01	-2.743280e+00
5.200000e-01	-2.759833e+00	-1.112148e+00	-1.954419e+00	-1.468625e-11	-2.000000e-01	-8.000000e-01	-2.107704e+00	-1.132110e-01	-2.762755e+00
5.300000e-01	-2.770016e+00	-1.121578e+00	-1.960837e+00	-1.516587e-11	-2.000000e-01	-8.000000e-01	-2.119340e+00	-1.229937e-01	-2.782131e+00
5.400000e-01	-2.779859e+00	-1.130726e+00	-1.967035e+00	-1.559997e-11	-2.000000e-01	-8.000000e-01	-2.130801e+00	-1.325764e-01	-2.801394e+00
5.500000e-01	-2.789356e+00	-1.139585e+00	-1.973011e+00	-1.597567e-11	-2.000000e-01	-8.000000e-01	-2.142062e+00	-1.419618e-01	-2.820528e+00
5.600000e-01	-2.798503e+00	-1.148146e+00	-1.978762e+00	-1.628275e-11	-2.000000e-01	-8.000000e-01	-2.153094e+00	-1.511527e-01	-2.839516e+00
5.700000e-01	-2.807295e+00	-1.156403e+00	-1.984286e+00	-1.650746e-11	-2.000000e-01	-8.000000e-01	-2.163870e+00	-1.601513e-01	-2.858344e+00
