"DMS_Project"

"Time      "	".A1.Translational_Velocity.X"	".D1.Translational_Velocity.X"	".M1.Translational_Velocity.X"	".O1.Translational_Velocity.X"	".H7.Translational_Velocity.X"	".N5.Translational_Velocity.X"	".C2.Translational_Velocity.X"	".G2.Translational_Velocity.X"	".K3.Translational_Velocity.X"
0.000000e+00	-1.306158e+00	-2.749807e-01	-9.624323e-01	0.000000e+00	1.387779e-17	3.330669e-16	-2.737007e+00	1.694640e+00	-1.306158e+00
1.000000e-02	-1.324810e+00	-2.864616e-01	-9.750504e-01	-1.110223e-16	2.775558e-17	1.110223e-16	-2.760685e+00	1.714670e+00	-1.344301e+00
2.000000e-02	-1.343180e+00	-2.979623e-01	-9.874486e-01	0.000000e+00	0.000000e+00	1.110223e-16	-2.779358e+00	1.730435e+00	-1.379869e+00
3.000000e-02	-1.361248e+00	-3.094701e-01	-9.996139e-01	-2.220446e-16	2.775558e-17	1.110223e-16	-2.792945e+00	1.741763e+00	-1.412804e+00
4.000000e-02	-1.378994e+00	-3.209722e-01	-1.011533e+00	0.000000e+00	2.775558e-17	1.110223e-16	-2.801392e+00	1.748504e+00	-1.443113e+00
5.000000e-02	-1.396399e+00	-3.324553e-01	-1.023192e+00	0.000000e+00	0.000000e+00	1.110223e-16	-2.804666e+00	1.750531e+00	-1.470856e+00
6.000000e-02	-1.413441e+00	-3.439062e-01	-1.034578e+00	0.000000e+00	5.551115e-17	2.220446e-16	-2.802758e+00	1.747738e+00	-1.496128e+00
7.000000e-02	-1.430100e+00	-3.553112e-01	-1.045676e+00	2.220446e-16	5.551115e-17	1.110223e-16	-2.795685e+00	1.740046e+00	-1.519045e+00
8.000000e-02	-1.446354e+00	-3.666564e-01	-1.056473e+00	0.000000e+00	0.000000e+00	2.220446e-16	-2.783486e+00	1.727399e+00	-1.539736e+00
9.000000e-02	-1.462184e+00	-3.779279e-01	-1.066953e+00	0.000000e+00	8.326673e-17	1.110223e-16	-2.766226e+00	1.709771e+00	-1.558331e+00
1.000000e-01	-1.477566e+00	-3.891114e-01	-1.077103e+00	1.110223e-16	2.775558e-17	0.000000e+00	-2.743994e+00	1.687159e+00	-1.574955e+00
1.100000e-01	-1.492478e+00	-4.001923e-01	-1.086908e+00	-1.110223e-16	2.775558e-17	3.330669e-16	-2.716902e+00	1.659588e+00	-1.589726e+00
1.200000e-01	-1.506898e+00	-4.111558e-01	-1.096352e+00	-1.110223e-16	0.000000e+00	2.220446e-16	-2.685084e+00	1.627111e+00	-1.602749e+00
1.300000e-01	-1.520804e+00	-4.219869e-01	-1.105421e+00	0.000000e+00	2.775558e-17	3.330669e-16	-2.648693e+00	1.589807e+00	-1.614120e+00
1.400000e-01	-1.534171e+00	-4.326704e-01	-1.114098e+00	0.000000e+00	2.775558e-17	1.110223e-16	-2.607904e+00	1.547781e+00	-1.623921e+00
1.500000e-01	-1.546976e+00	-4.431906e-01	-1.122367e+00	0.000000e+00	2.775558e-17	1.110223e-16	-2.562907e+00	1.501161e+00	-1.632223e+00
1.600000e-01	-1.559196e+00	-4.535318e-01	-1.130213e+00	1.110223e-16	-2.775558e-17	2.220446e-16	-2.513911e+00	1.450103e+00	-1.639088e+00
