"DMS_Project"

"Time      "	".A1.Translational_Velocity.Y"	".D1.Translational_Velocity.Y"	".M1.Translational_Velocity.Y"	".O1.Translational_Velocity.Y"	".H7.Translational_Velocity.Y"	".N5.Translational_Velocity.Y"	".C2.Translational_Velocity.Y"	".G2.Translational_Velocity.Y"	".K3.Translational_Velocity.Y"
0.000000e+00	-1.993610e+00	-1.512394e+00	-1.306158e+00	0.000000e+00	-2.775558e-17	-2.775558e-17	-2.251001e+00	-3.517813e-02	-9.786773e-01
1.000000e-02	-1.992012e+00	-1.516131e+00	-1.304374e+00	0.000000e+00	-5.551115e-17	-2.775558e-16	-2.192535e+00	-9.081348e-02	-1.014327e+00
2.000000e-02	-1.989669e+00	-1.519354e+00	-1.302093e+00	-2.220446e-16	0.000000e+00	-5.551115e-17	-2.132728e+00	-1.483373e-01	-1.051809e+00
3.000000e-02	-1.986583e+00	-1.522061e+00	-1.299319e+00	0.000000e+00	-5.551115e-17	9.714451e-17	-2.071954e+00	-2.074307e-01	-1.090394e+00
4.000000e-02	-1.982759e+00	-1.524248e+00	-1.296056e+00	0.000000e+00	-5.551115e-17	4.857226e-17	-2.010588e+00	-2.677671e-01	-1.129444e+00
5.000000e-02	-1.978203e+00	-1.525915e+00	-1.292308e+00	-2.220446e-16	-5.551115e-17	1.526557e-16	-1.949003e+00	-3.290135e-01	-1.168423e+00
6.000000e-02	-1.972919e+00	-1.527057e+00	-1.288078e+00	0.000000e+00	0.000000e+00	9.714451e-17	-1.887565e+00	-3.908329e-01	-1.206894e+00
7.000000e-02	-1.966911e+00	-1.527674e+00	-1.283371e+00	2.220446e-16	-5.551115e-17	2.567391e-16	-1.826638e+00	-4.528861e-01	-1.244517e+00
8.000000e-02	-1.960186e+00	-1.527763e+00	-1.278191e+00	0.000000e+00	0.000000e+00	5.551115e-17	-1.766574e+00	-5.148342e-01	-1.281042e+00
9.000000e-02	-1.952748e+00	-1.527322e+00	-1.272543e+00	0.000000e+00	-5.551115e-17	9.020562e-17	-1.707712e+00	-5.763409e-01	-1.316294e+00
1.000000e-01	-1.944602e+00	-1.526348e+00	-1.266431e+00	0.000000e+00	0.000000e+00	4.857226e-17	-1.650379e+00	-6.370749e-01	-1.350169e+00
1.100000e-01	-1.935755e+00	-1.524840e+00	-1.259859e+00	-2.220446e-16	0.000000e+00	1.457168e-16	-1.594883e+00	-6.967133e-01	-1.382616e+00
1.200000e-01	-1.926212e+00	-1.522794e+00	-1.252833e+00	-2.220446e-16	0.000000e+00	-1.214306e-16	-1.541512e+00	-7.549430e-01	-1.413633e+00
1.300000e-01	-1.915979e+00	-1.520209e+00	-1.245356e+00	2.220446e-16	-5.551115e-17	-9.540979e-17	-1.490533e+00	-8.114647e-01	-1.443253e+00
1.400000e-01	-1.905060e+00	-1.517082e+00	-1.237435e+00	2.220446e-16	-1.110223e-16	5.377643e-17	-1.442186e+00	-8.659945e-01	-1.471535e+00
1.500000e-01	-1.893463e+00	-1.513411e+00	-1.229073e+00	-2.220446e-16	-1.110223e-16	2.983724e-16	-1.396685e+00	-9.182667e-01	-1.498562e+00
